"Ismaeil Matar Al Jneibi","Asia","United Arab Emirates","M","C","Football","0","0","0"
"Ahmed Khalil Al Junaibi","Asia","United Arab Emirates","M","B","Football","0","0","0"
"Dawoud Sulaiman Al Quiwaitaei","Asia","United Arab Emirates","M","B","Football","0","0","0"
"HRH Prince Abdullah Al Saud","Asia","Saudi Arabia","M","C","Equestrian","0","0","1"
"Mahmoud Alaa Eldin","Africa","Egypt","M","B","Football","0","0","0"
"Marina Alabau Neira","Europe","Spain","F","C","Sailing","1","0","0"
"Jarkko Ala-Huikku","Europe","Finland","M","D","Wrestling","0","0","0"
"Danielle Alakija","Oceania","Fiji","F","A","Athletics","0","0","0"
"Ali Salem Ahmed Faraj Alameri","Asia","United Arab Emirates","M","B","Football","0","0","0"
"Ali Ahmed Al-Amri","Asia","Saudi Arabia","M","C","Athletics","0","0","0"
"Rashid Al-Athba","Asia","Qatar","M","D","Shooting","0","0","0"
"Nasser Al-Attiya","Asia","Qatar","M","D","Shooting","0","0","1"
"Mohammad Al-Azemi","Asia","Kuwait","M","D","Athletics","0","0","0"
"Mohanad Ahmed Dheyaa Al-Azzawi","Asia","Iraq","M","A","Swimming","0","0","0"
"Sultan Mubarak Al-Dawoodi","Asia","Saudi Arabia","M","D","Athletics","0","0","0"
"Mostafa Al-Gamel","Africa","Egypt","M","B","Athletics","0","0","0"
"Nabil Mohammed Al-Garbi","Asia","Yemen","M","A","Athletics","0","0","0"
"Mohamad Al-Garni","Asia","Qatar","M","B","Athletics","0","0","0"
"Shinoona Salah Al-Habsi","Asia","Oman","F","A","Athletics","0","0","0"
"Barakat Mubarak Al-Harthi","Asia","Oman","M","B","Athletics","0","0","0"
"Safaa Al-Jumaili","Asia","Iraq","M","B","Weightlifting","0","0","0"
"Hamdan Al-Kamali","Asia","United Arab Emirates","M","B","Football","0","0","0"
"Noor Hussain Al-Malki","Asia","Qatar","F","A","Athletics","0","0","0"
"Rand Al-Mashhadani","Asia","Iraq","F","A","Archery","0","0","0"
"Ahmed Mohamed Al-Merjabi","Asia","Oman","M","B","Athletics","0","0","0"
"Moukheld Al-Outaibi","Asia","Saudi Arabia","M","D","Athletics","0","0","0"
"Fawaz Al-Shammari","Asia","Kuwait","M","D","Athletics","0","0","0"
"Majed Al-Tamimi","Asia","Saudi Arabia","M","D","Shooting","0","0","0"
"Ali Mohamed Al-Zinkawi","Asia","Kuwait","M","C","Athletics","0","0","0"
"Yenew Alamirew","Africa","Ethiopia","M","B","Athletics","0","0","0"
"Noshad Alamiyan","Asia","Islamic Republic of Iran","M","B","Table Tennis","0","0","0"
"Francisco Roman Alarcon Suarez","Europe","Spain","M","B","Football","0","0","0"
"Dhaher Alaryani","Asia","United Arab Emirates","M","D","Shooting","0","0","0"
"Yousef Alaskari","Asia","Kuwait","M","A","Swimming","0","0","0"
"Janice Alatoa","Oceania","Vanuatu","F","B","Athletics","0","0","0"
"Jordi Alba","Europe","Spain","M","B","Football","0","0","0"
"Azad Albarazi","Asia","Syrian Arab Republic","M","B","Swimming","0","0","0"
"Michael Albasini","Europe","Switzerland","M","D","Cycling - Road","0","0","0"
"Ruslan Albegov","Asia","Russian Federation","M","B","Weightlifting","0","0","1"
"Isil Alben","Asia","Turkey","F","C","Basketball","0","0","0"
"Samantha Albert","North America","Jamaica","F","D","Equestrian","0","0","0"
"Nely Alberto Francisca","Europe","Spain","F","C","Handball","0","0","1"
"Emiliano Albin","South America","Uruguay","M","B","Football","0","0","0"
"Nicoleta Albu","Asia","Romania","F","B","Rowing","0","0","0"
"Dailenys Alcantara","North America","Cuba","F","B","Athletics","0","0","0"
"Arnold Alcolea","North America","Cuba","M","C","Cycling - Road","0","0","0"
"Kyle Alcorn","North America","United States of America","M","C","Athletics","0","0","0"
"Yamile Aldama","Europe","Great Britain","F","D","Athletics","0","0","0"
"Andrea Aldana Bennett","North America","Guatemala","F","B","Sailing","0","0","0"
"Ibragim Aldatov","Europe","Ukraine","M","C","Wrestling","0","0","0"
"Fehaid Aldeehani","Asia","Kuwait","M","D","Shooting","0","0","1"
"Humaid Alderei","Asia","United Arab Emirates","M","B","Judo","0","0","0"
"David Alegre","Europe","Spain","M","C","Hockey","0","0","0"
"Ramon Alegre","Europe","Spain","M","D","Hockey","0","0","0"
"Jo Aleh","Oceania","New Zealand","F","C","Sailing","1","0","0"
"Eric Alejandro","North America","Puerto Rico","M","C","Athletics","0","0","0"
"Virgilijus Alekna","Europe","Lithuania","M","D","Athletics","0","0","0"
"Aleksandar Aleksandrov","Europe","Azerbaijan","M","B","Rowing","0","0","0"
"Dmitrii Aleksandrov","Asia","Kyrgyzstan","M","A","Swimming","0","0","0"
"Artur Aleksanyan","Europe","Armenia","M","B","Wrestling","0","0","1"
"Sandra Aleksejeva","Europe","Latvia","F","B","Cycling - BMX","0","0","0"
"Denis Alekseyev","Asia","Russian Federation","M","B","Athletics","0","0","0"
"Aleksandar Aleksic","Europe","Serbia","M","B","Canoe Sprint","0","0","0"
"Milan Aleksic","Europe","Serbia","M","C","Water Polo","0","0","1"
"Todor Aleksiev","Europe","Bulgaria","M","C","Volleyball","0","0","0"
"Ilya Aleksievich","Europe","Belarus","M","B","Football","0","0","0"
"Octavio Alesi Gonzalez","South America","Venezuela","M","C","Swimming","0","0","0"
"Ayanna Alexander","North America","Trinidad and Tobago","F","D","Athletics","0","0","0"
"Kineke Alexander","North America","St Vincent and the Grenadines","F","C","Athletics","0","0","0"
"Dmitriy Alexanin","Asia","Kazakhstan","M","B","Fencing","0","0","0"
"Yevgeniy Alexeyev","Asia","Kazakhstan","M","D","Canoe Sprint","0","0","0"
"Alin Alexuc-Ciurariu","Asia","Romania","M","B","Wrestling","0","0","0"
"Rafael Alfaro","North America","El Salvador","M","B","Swimming","0","0","0"
"Sara Alflaij","Asia","Bahrain","F","A","Swimming","0","0","0"
"Linda Algotsson","Europe","Sweden","F","D","Equestrian","0","0","0"
"Sara Algotsson Ostholt","Europe","Sweden","F","D","Equestrian","0","1","0"
"Hussain Jamaan Alhamdah","Asia","Saudi Arabia","M","C","Athletics","0","0","0"
"Ibrahem Alhasan","Asia","Kuwait","M","C","Table Tennis","0","0","0"
"Annabel Laure Ali","Africa","Cameroon","F","C","Wrestling","0","0","0"
"Belal Mansoor Ali","Asia","Bahrain","M","B","Athletics","0","0","0"
"Kame Ali","Africa","Madagascar","M","C","Athletics","0","0","0"
"Lahoussine Ali","Africa","Morocco","M","D","Fencing","0","0","0"
"Liaqat Ali","Asia","Pakistan","M","C","Athletics","0","0","0"
"Zourah Ali","Africa","Djibouti","F","A","Athletics","0","0","0"
"Khalid Alibaba","Asia","Bahrain","M","A","Swimming","0","0","0"
"Mirko Alilovic","Europe","Croatia","M","C","Handball","0","0","1"
"Elmir Alimzhanov","Asia","Kazakhstan","M","C","Fencing","0","0","0"
"Alexey Alipov","Asia","Russian Federation","M","D","Shooting","0","0","0"
"Ashraf Aliyev","Europe","Azerbaijan","M","C","Wrestling","0","0","0"
"Hasan Aliyev","Europe","Azerbaijan","M","B","Wrestling","0","0","0"
"Triin Aljand","Europe","Estonia","F","C","Swimming","0","0","0"
"Abdullah Abdulaziz Aljoud","Asia","Saudi Arabia","M","D","Athletics","0","0","0"
"Jasmine Alkhaldi","Asia","Philippines","F","C","Swimming","0","0","0"
"Agnese Allegrini","Europe","Italy","F","D","Badminton","0","0","0"
"Dominique Allen","Europe","Great Britain","F","B","Basketball","0","0","0"
"Elena Allen","Europe","Great Britain","F","D","Shooting","0","0","0"
"Joe Allen","Europe","Great Britain","M","B","Football","0","0","0"
"Sophie Allen","Europe","Great Britain","F","B","Swimming","0","0","0"
"Ade Alleyne-Forte","North America","Trinidad and Tobago","M","B","Athletics","0","0","1"
"Bradley Ally","North America","Barbados","M","C","Swimming","0","0","0"
"Miguel Angel Almachi","South America","Ecuador","M","C","Athletics","0","0","0"
"Nicolas Almagro","Europe","Spain","M","C","Tennis","0","0","0"
"Juma Almaktoum","Asia","United Arab Emirates","M","C","Shooting","0","0","0"
"Saeed Almaktoum","Asia","United Arab Emirates","M","D","Shooting","0","0","0"
"Rose Mary Almanza","North America","Cuba","F","B","Athletics","0","0","0"
"Abdelaziz Sanqour Almazam","Asia","United Arab Emirates","M","B","Football","0","0","0"
"Carlos Almeida","Europe","Portugal","M","B","Swimming","0","0","0"
"Joao Carlos Almeida","Europe","Portugal","M","B","Athletics","0","0","0"
"Kaio Almeida","South America","Brazil","M","C","Swimming","0","0","0"
"Nair Almeida","Africa","Angola","F","C","Handball","0","0","0"
"Johanna Almgren","Europe","Sweden","F","C","Football","0","0","0"
"Ghfran Almouhamad","Asia","Syrian Arab Republic","F","B","Athletics","0","0","0"
"Jessica Alonso Bernardo","Europe","Spain","F","C","Handball","0","0","1"
"Kamel Alouini","Africa","Tunisia","M","B","Handball","0","0","0"
"Anthony Alozie","North America","Australia","M","C","Athletics","0","0","0"
"Abbas Alqaisoum","Asia","Saudi Arabia","M","D","Weightlifting","0","0","0"
"Azza Alqasmi","Asia","Bahrain","F","C","Shooting","0","0","0"
"Abdullah Alrashidi","Asia","Kuwait","M","D","Shooting","0","0","0"
"Talal Alrashidi","Asia","Kuwait","M","A","Shooting","0","0","0"
"Therese Alshammar","Europe","Sweden","F","D","Swimming","0","0","0"
"Julio Alsogaray","South America","Argentina","M","D","Sailing","0","0","0"
"Ida Alstad","Europe","Norway","F","C","Handball","1","0","0"
"Maria Suelen Altheman","South America","Brazil","F","B","Judo","0","0","0"
"Eniola Aluko","Europe","Great Britain","F","C","Football","0","0","0"
"Ever Alvarado","North America","Honduras","M","B","Football","0","0","0"
"Luis Alvarez","North America","Mexico","M","B","Archery","0","0","0"
"Sergio Alvarez Boulet","North America","Cuba","M","D","Weightlifting","0","0","0"
"Yuri Alvear","South America","Colombia","F","C","Judo","0","0","1"
"Thiago Soares Alves","South America","Brazil","M","C","Volleyball","0","1","0"
"Saad Surour Alyassi","Asia","United Arab Emirates","M","B","Football","0","0","0"
"Darisleydis Amador","North America","Cuba","F","B","Canoe Sprint","0","0","0"
"Andrey Amador Bakkazakova","North America","Costa Rica","M","C","Cycling - Road","0","0","0"
"Mohammed Aman","Africa","Ethiopia","M","A","Athletics","0","0","0"
"Ranohon Amanova","Asia","Uzbekistan","F","A","Swimming","0","0","0"
"Dante Amaral","South America","Brazil","M","D","Volleyball","0","1","0"
"Yadinys Amaris","South America","Colombia","F","C","Judo","0","0","0"
"Pol Amat","Europe","Spain","M","D","Hockey","0","0","0"
"Doreen Amata","Africa","Nigeria","F","B","Athletics","0","0","0"
"Kim Amb","Europe","Sweden","M","B","Athletics","0","0","0"
"Harald Ambros","Europe","Austria","M","D","Equestrian","0","0","0"
"Nourhan Amer","Africa","Egypt","F","A","Shooting","0","0","0"
"Christine Amertil","North America","Bahamas","F","D","Athletics","0","0","0"
"Alena Amialiusik","Europe","Belarus","F","B","Cycling - Road","0","0","0"
"Al-Farouq Aminu","Africa","Nigeria","M","B","Basketball","0","0","0"
"Alade Aminu","Africa","Nigeria","M","B","Basketball","0","0","0"
"Eduarda Amorim","South America","Brazil","F","C","Handball","0","0","0"
"Vanessa Amoros Quiles","Europe","Spain","F","C","Handball","0","0","1"
"Nijel Amos","Africa","Botswana","M","A","Athletics","0","1","0"
"Alberta Boatema Ampomah","Africa","Ghana","F","A","Weightlifting","0","0","0"
"Noureddine Amrabat","Africa","Morocco","M","C","Football","0","0","0"
"Marwa Amri","Africa","Tunisia","F","B","Wrestling","0","0","0"
"Mohamed Amsif","Africa","Morocco","M","B","Football","0","0","0"
"Kum Ae An","Asia","Democratic People's Republic  of Korea","F","D","Judo","1","0","0"
"Phara Anacharsis","Europe","France","F","C","Athletics","0","0","0"
"Tumua Anae","North America","United States of America","F","B","Water Polo","1","0","0"
"Takamasa Anai","Asia","Japan","M","C","Judo","0","0","0"
"Anis Ananenka","Europe","Belarus","M","C","Athletics","0","0","0"
"Anton Anchin","Asia","Russian Federation","M","B","Swimming","0","0","0"
"David Andersen","North America","Australia","M","D","Basketball","0","0","0"
"Stine Andersen","Europe","Denmark","F","C","Shooting","0","0","0"
"Alyssa Anderson","North America","United States of America","F","B","Swimming","1","0","0"
"Haley Anderson","North America","United States of America","F","B","Swimming","0","1","0"
"Matthew Anderson","North America","United States of America","M","C","Volleyball","0","0","0"
"Rose Anderson","Europe","Great Britain","F","B","Basketball","0","0","0"
"Isabellah Andersson","Europe","Sweden","F","D","Athletics","0","0","0"
"Kim Andersson","Europe","Sweden","M","C","Handball","0","1","0"
"Mattias Andersson","Europe","Sweden","M","D","Handball","0","1","0"
"Kozue Ando","Asia","Japan","F","D","Football","0","1","0"
"Shunsuke Ando","Asia","Japan","M","B","Football","0","0","0"
"Danail Andonov Petrov","Europe","Bulgaria","M","D","Cycling - Road","0","0","0"
"Francisco Andrade","Europe","Portugal","M","D","Sailing","0","0","0"
"Lady Andrade","South America","Colombia","F","B","Football","0","0","0"
"Marcia Yuleisi Andrades Mendoza","South America","Venezuela","F","C","Wrestling","0","0","0"
"Bjorn Andrae","Europe","Germany","M","D","Volleyball","0","0","0"
"Nilson Andre","South America","Brazil","M","C","Athletics","0","0","0"
"Grigoriy Andreev","Asia","Russian Federation","M","D","Athletics","0","0","0"
"Ekaterina Andreeva","Asia","Russian Federation","F","A","Swimming","0","0","0"
"Iuliia Andreeva","Asia","Kyrgyzstan","F","C","Athletics","0","0","0"
"Viktoriia Andreeva","Asia","Russian Federation","F","B","Swimming","0","0","0"
"Antonakis Andreou","Europe","Cyprus","M","D","Shooting","0","0","0"
"Panagiota Andreou","Europe","Cyprus","F","A","Shooting","0","0","0"
"Jake Andrewartha","North America","Australia","M","B","Judo","0","0","0"
"Valerii Andriitsev","Europe","Ukraine","M","C","Wrestling","0","1","0"
"Matthieu Androdias","Europe","France","M","B","Rowing","0","0","0"
"Alona Andruk","Europe","Ukraine","F","C","Cycling - Road","0","0","0"
"Georgeta Andrunache","Asia","Romania","F","D","Rowing","0","0","0"
"Tamir Andryei","Asia","Mongolia","M","C","Swimming","0","0","0"
"Juan Diego Angeloni","South America","Argentina","M","D","Shooting","0","0","0"
"Ivo Serafimov Angelov","Europe","Bulgaria","M","C","Wrestling","0","0","0"
"Tonje Angelsen","Europe","Norway","F","B","Athletics","0","0","0"
"Giuseppe Angilella","Europe","Italy","M","C","Sailing","0","0","0"
"Vitaliy Anichkin","Asia","Kazakhstan","M","B","Athletics","0","0","0"
"Vida Anim","Africa","Ghana","F","C","Athletics","0","0","0"
"Sajjad Anoushiravani Hamlabad","Asia","Islamic Republic of Iran","M","C","Weightlifting","0","1","0"
"Jennifer Anson","Oceania","Palau","F","D","Judo","0","0","0"
"Dora Antal","Europe","Hungary","F","A","Water Polo","0","0","0"
"Lissette Alexandra Antes Castillo","South America","Ecuador","F","B","Wrestling","0","0","0"
"Carmelo Anthony","North America","United States of America","M","C","Basketball","1","0","0"
"Mark Anthony","North America","Australia","M","B","Judo","0","0","0"
"Seema Antil","Asia","India","F","C","Athletics","0","0","0"
"Maria Antonelli","South America","Brazil","F","C","Beach Volleyball","0","0","0"
"Manuel Antonio","Africa","Angola","M","B","Athletics","0","0","0"
"Semen Antonov","Asia","Russian Federation","M","B","Basketball","0","0","1"
"Alexandra Antonova","Asia","Russian Federation","F","B","Water Polo","0","0","0"
"Diana Antonova","Asia","Russian Federation","F","A","Water Polo","0","0","0"
"Tatiana Antoshina","Asia","Russian Federation","F","D","Cycling - Road","0","0","0"
"Jitka Antosova","Europe","Czech Republic","F","C","Rowing","0","0","0"
"Lenka Antosova","Europe","Czech Republic","F","B","Rowing","0","0","0"
"Miika Antti-Roiko","Europe","Finland","M","B","Weightlifting","0","0","0"
"Natalya Antyukh","Asia","Russian Federation","F","D","Athletics","1","1","0"
"Marcos Aoas Correa","South America","Brazil","M","A","Football","0","0","0"
